SKU,Product,Location,Unit Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted
1563,STOP COCK VIVA,,530,0,,0,0,0,0,0
1564,STOP COCK MASTER,,450,0,,0,0,0,0,0
1565,STOP COCK P. ASIA,BILAL TRADERS LH,450,3,960,1350,390,0,0,0
1566,"STOP COCK 1/2"" S. ASIA",BILAL TRADERS LH,395,60,17395,23700,6305,12,0,0
1567,"STOP COCK 3/4"" S.ASIA",BILAL TRADERS LH,420,24,7680,10080,2400,0,0,0
1568,SUPER JET SHOWER CHORUS (COLOR),BILAL TRADERS LH,110,93,10695,10230,-465,98,0,0
1569,"T-ARM (CP) 12""",BILAL TRADERS LH,300,19,4925,5700,775,6,0,0
1570,"T-ARM (CP) 18""",BILAL TRADERS LH,440,22,9730,9680,-50,5,0,0
1571,"T-ARM (CP) 8""",BILAL TRADERS LH,265,12,2400,3180,780,25,0,0
1572,T-COCK ILMAS,BILAL TRADERS LH,850,24,15600,20400,4800,0,0,0
1573,T-COCK NEELAM,BILAL TRADERS LH,550,45,25200,24750,-450,16,0,0
1574,T-COCK VIVA,BILAL TRADERS LH,530,102,53754,54060,306,0,0,0
1575,T-COCK MASTER,BILAL TRADERS LH,450,128,52660,57600,4940,36,0,0
1576,T-COCK S. ASIA,BILAL TRADERS LH,395,174,50190,68730,18540,0,0,0
1577,T-COCK P. ASIA,BILAL TRADERS LH,450,39,12480,17550,5070,0,0,0
1578,T-COCK CROWN,BILAL TRADERS LH,450,40,12800,18000,5200,0,0,0
1579,T-COCK UMAR SAGA,BILAL TRADERS LH,490,38,13300,18620,5320,0,0,0
1580,T-COCK (COLOR) PEAK,BILAL TRADERS LH,140,226,29380,31640,2260,142,0,0
1581,T-COCK (COLOR) PARAGON,BILAL TRADERS LH,190,400,79219,76000,-3219,22,0,0
1582,T-COCK (COLOR) TEHZEEB,BILAL TRADERS LH,160,482,63896,77120,13224,228,0,0
1583,T-COCK (COLOR) UROOJ,BILAL TRADERS LH,125,99,9405,12375,2970,0,0,0
1584,T-COCK (COLOR) SIRONA,BILAL TRADERS LH,160,60,7200,9600,2400,0,0,0
1585,T-COCK (CP) PEAK,BILAL TRADERS LH,165,0,0,0,0,48,0,0
1586,"T-SAFETY VALVE 1""",BILAL TRADERS LH,480,11,4576,5280,704,4,0,0
1587,TAFLON TAPE (COLOR),BILAL TRADERS LH,18,1580,22910,28440,5530,230,0,0
1588,TAFLON TAPE (YELLOW),BILAL TRADERS LH,11,5973,63562.4,65703,2140.6,1390,0,0
1589,"TANKI BUSH 1/2""x3/4"" (BHARI)",BILAL TRADERS LH,80,137,10960,10960,0,70,0,0
1590,"TANKI BUSH 1/2""x3/4"" (AAM)",BILAL TRADERS LH,55,194,11430,10670,-760,64,0,0
1591,"TANKI BUSH 3/4""x1"" (BHARI)",BILAL TRADERS LH,105,222,21870,23310,1440,36,0,0
